clf,atlas_name,itr,tp,tn,fp,fn,sen,spc,acc,pre,npv,f1,roc_auc
LogisticRegression,rois_ho,average,25,33,14.5,15.7,0.614573171,0.694902482,0.65764811,0.633175123,0.679859792,0.621635379,0.6548
SVC,rois_ho,0,22,35,13,19,0.536585366,0.729166667,0.640449438,0.628571429,0.648148148,0.578947368,0.633
SVC,rois_ho,1,22,34,14,19,0.536585366,0.708333333,0.629213483,0.611111111,0.641509434,0.571428571,0.622
SVC,rois_ho,2,21,38,9,20,0.512195122,0.808510638,0.670454545,0.7,0.655172414,0.591549296,0.66
SVC,rois_ho,3,25,38,9,16,0.609756098,0.808510638,0.715909091,0.735294118,0.703703704,0.666666667,0.709
SVC,rois_ho,4,21,34,13,20,0.512195122,0.723404255,0.625,0.617647059,0.62962963,0.56,0.618
SVC,rois_ho,5,27,31,16,14,0.658536585,0.659574468,0.659090909,0.627906977,0.688888889,0.642857143,0.659
SVC,rois_ho,6,26,35,12,15,0.634146341,0.744680851,0.693181818,0.684210526,0.7,0.658227848,0.689
SVC,rois_ho,7,28,34,14,12,0.7,0.708333333,0.704545455,0.666666667,0.739130435,0.682926829,0.704
SVC,rois_ho,8,25,36,12,15,0.625,0.75,0.693181818,0.675675676,0.705882353,0.649350649,0.688
SVC,rois_ho,9,28,39,9,12,0.7,0.8125,0.761363636,0.756756757,0.764705882,0.727272727,0.756
SVC,rois_ho,average,24.5,35.4,12.1,16.2,0.6025,0.745301418,0.679239019,0.670384032,0.687677089,0.63292271,0.6738
RandomForestClassifier,rois_ho,0,16,38,10,25,0.390243902,0.791666667,0.606741573,0.615384615,0.603174603,0.47761194,0.591
RandomForestClassifier,rois_ho,1,18,42,6,23,0.43902439,0.875,0.674157303,0.75,0.646153846,0.553846154,0.657
RandomForestClassifier,rois_ho,2,19,39,8,22,0.463414634,0.829787234,0.659090909,0.703703704,0.639344262,0.558823529,0.647
RandomForestClassifier,rois_ho,3,15,44,3,26,0.365853659,0.936170213,0.670454545,0.833333333,0.628571429,0.508474576,0.651
RandomForestClassifier,rois_ho,4,17,31,16,24,0.414634146,0.659574468,0.545454545,0.515151515,0.563636364,0.459459459,0.537
RandomForestClassifier,rois_ho,5,23,32,15,18,0.56097561,0.680851064,0.625,0.605263158,0.64,0.582278481,0.621
RandomForestClassifier,rois_ho,6,24,35,12,17,0.585365854,0.744680851,0.670454545,0.666666667,0.673076923,0.623376623,0.665
RandomForestClassifier,rois_ho,7,22,37,11,18,0.55,0.770833333,0.670454545,0.666666667,0.672727273,0.602739726,0.66
RandomForestClassifier,rois_ho,8,16,37,11,24,0.4,0.770833333,0.602272727,0.592592593,0.606557377,0.47761194,0.585
RandomForestClassifier,rois_ho,9,16,37,11,24,0.4,0.770833333,0.602272727,0.592592593,0.606557377,0.47761194,0.585
RandomForestClassifier,rois_ho,average,18.6,37.2,10.3,22.1,0.45695122,0.78302305,0.632635342,0.654135484,0.627979945,0.532183437,0.6199
RidgeClassifier,rois_ho,0,22,37,11,19,0.536585366,0.770833333,0.662921348,0.666666667,0.660714286,0.594594595,0.654
RidgeClassifier,rois_ho,1,27,30,18,14,0.658536585,0.625,0.640449438,0.6,0.681818182,0.627906977,0.642
RidgeClassifier,rois_ho,2,21,36,11,20,0.512195122,0.765957447,0.647727273,0.65625,0.642857143,0.575342466,0.639
RidgeClassifier,rois_ho,3,22,34,13,19,0.536585366,0.723404255,0.636363636,0.628571429,0.641509434,0.578947368,0.63
RidgeClassifier,rois_ho,4,23,31,16,18,0.56097561,0.659574468,0.613636364,0.58974359,0.632653061,0.575,0.61
RidgeClassifier,rois_ho,5,26,31,16,15,0.634146341,0.659574468,0.647727273,0.619047619,0.673913043,0.626506024,0.647
RidgeClassifier,rois_ho,6,28,32,15,13,0.682926829,0.680851064,0.681818182,0.651162791,0.711111111,0.666666667,0.682
RidgeClassifier,rois_ho,7,26,24,24,14,0.65,0.5,0.568181818,0.52,0.631578947,0.577777778,0.575
RidgeClassifier,rois_ho,8,23,32,16,17,0.575,0.666666667,0.625,0.58974359,0.653061224,0.582278481,0.621
RidgeClassifier,rois_ho,9,29,36,12,11,0.725,0.75,0.738636364,0.707317073,0.765957447,0.716049383,0.738
RidgeClassifier,rois_ho,average,24.7,32.3,15.2,16,0.607195122,0.68018617,0.64624617,0.622850276,0.669517388,0.612106974,0.6438
MLPClassifier,rois_ho,0,19,34,14,22,0.463414634,0.708333333,0.595505618,0.575757576,0.607142857,0.513513514,0.586
MLPClassifier,rois_ho,1,25,34,14,16,0.609756098,0.708333333,0.662921348,0.641025641,0.68,0.625,0.659
MLPClassifier,rois_ho,2,24,34,13,17,0.585365854,0.723404255,0.659090909,0.648648649,0.666666667,0.615384615,0.654
MLPClassifier,rois_ho,3,21,35,12,20,0.512195122,0.744680851,0.636363636,0.636363636,0.636363636,0.567567568,0.628
MLPClassifier,rois_ho,4,23,31,16,18,0.56097561,0.659574468,0.613636364,0.58974359,0.632653061,0.575,0.61
MLPClassifier,rois_ho,5,28,29,18,13,0.682926829,0.617021277,0.647727273,0.608695652,0.69047619,0.643678161,0.65
MLPClassifier,rois_ho,6,28,33,14,13,0.682926829,0.70212766,0.693181818,0.666666667,0.717391304,0.674698795,0.693
MLPClassifier,rois_ho,7,25,30,18,15,0.625,0.625,0.625,0.581395349,0.666666667,0.602409639,0.625
MLPClassifier,rois_ho,8,27,32,16,13,0.675,0.666666667,0.670454545,0.627906977,0.711111111,0.65060241,0.671
MLPClassifier,rois_ho,9,29,39,9,11,0.725,0.8125,0.772727273,0.763157895,0.78,0.743589744,0.769
MLPClassifier,rois_ho,average,24.9,33.1,14.4,15.8,0.612256098,0.696764184,0.657660878,0.633936163,0.678847149,0.621144444,0.6545
BaggingClassifier,rois_ho,0,25,31,17,16,0.609756098,0.645833333,0.629213483,0.595238095,0.659574468,0.602409639,0.628
BaggingClassifier,rois_ho,1,21,32,16,20,0.512195122,0.666666667,0.595505618,0.567567568,0.615384615,0.538461538,0.589
BaggingClassifier,rois_ho,2,16,30,17,25,0.390243902,0.638297872,0.522727273,0.484848485,0.545454545,0.432432432,0.514
BaggingClassifier,rois_ho,3,14,33,14,27,0.341463415,0.70212766,0.534090909,0.5,0.55,0.405797101,0.522
BaggingClassifier,rois_ho,4,19,30,17,22,0.463414634,0.638297872,0.556818182,0.527777778,0.576923077,0.493506494,0.551
BaggingClassifier,rois_ho,5,14,36,11,27,0.341463415,0.765957447,0.568181818,0.56,0.571428571,0.424242424,0.554
BaggingClassifier,rois_ho,6,16,34,13,25,0.390243902,0.723404255,0.568181818,0.551724138,0.576271186,0.457142857,0.557
BaggingClassifier,rois_ho,7,19,33,15,21,0.475,0.6875,0.590909091,0.558823529,0.611111111,0.513513514,0.581
BaggingClassifier,rois_ho,8,11,34,14,29,0.275,0.708333333,0.511363636,0.44,0.53968254,0.338461538,0.492
BaggingClassifier,rois_ho,9,16,35,13,24,0.4,0.729166667,0.579545455,0.551724138,0.593220339,0.463768116,0.565
